HomeCondition,BuildMaterialQual,YrRD,Remd,TLA,YrBlt,GarCap,Bedrm,TotBaseArea,BasetMinFinArea,BaseFinArea,FirePlaces,Fixtures,PoolArea,TotAcres,SaleDate,Price
4,4,2009,0,2433,2009,3,1,1996,0,1850,2,18,630,0.32,2018.57,520800
4,5,1992,0,4376,1992,3,4,2442,0,2050,4,22,629,0.45,2016.77,825000
4,4,2002,0,2493,2002,4,1,2727,0,2200,2,17,629,0.36,2022.37,706300
3,4,1976,0,1858,1976,2,3,1348,1100,0,1,12,625,0.28,2020.47,285000
4,3,1967,0,2151,1967,2,3,1671,0,1300,1,13,616,0.73,2020.99,500714.2857
4,3,1967,0,2151,1967,2,3,1671,0,1300,1,13,616,0.73,2020.99,500714.2857
4,4,1995,0,2810,1995,3,4,1379,0,600,1,16,612,0.38,2022.52,515000
4,5,1990,0,4142,1990,3,5,2276,0,0,3,17,612,0.57,2018.06,560000
5,3,1966,0,1766,1966,2,4,1766,0,1700,1,11,612,0.23,2019.71,265000
4,3,1978,0,2519,1978,2,4,783,0,700,1,20,612,0.22,2021.79,410000
4,3,2017,0,1580,2017,3,3,1580,0,1200,1,12,612,0.27,2017.74,245410
4,3,1992,0,2618,1992,2,4,1343,0,1100,1,18,612,0.21,2020.90,366666.6667
4,3,1997,0,1962,1997,2,3,992,0,850,1,17,612,0.21,2022.30,291666.6667
4,3,1992,0,2373,1992,2,4,1144,0,900,3,16,608,0.22,2018.77,339500
5,3,1978,0,1998,1978,2,3,1142,0,700,1,15,606,0.21,2018.60,309400
5,4,2003,0,2543,2003,3,1,2499,0,2300,2,19,600,0.38,2022.67,744000
5,4,2003,0,2543,2003,3,1,2499,0,2300,2,19,600,0.38,2019.43,764000
5,4,2014,4,4056,1987,3,4,1190,0,950,3,20,600,0.65,2019.69,625000
5,3,1963,0,954,1963,2,3,936,0,850,1,8,600,0.21,2017.66,166000
5,3,1963,0,954,1963,2,3,936,0,850,1,8,600,0.21,2019.63,202000
4,4,2018,0,1957,2018,3,3,1957,0,1500,1,14,595,0.36,2022.52,729000
5,4,2009,0,2679,2009,3,2,3324,0,3000,1,21,594,0.31,2020.63,740000
5,3,1976,0,1316,1976,2,3,432,0,300,0,8,594,0.16,2019.62,280642.8571
5,3,1976,0,1316,1976,2,3,432,0,300,0,8,594,0.16,2021.71,342857.1429
4,3,2014,9,2210,2002,3,4,1073,0,1000,0,15,594,0.28,2016.31,291000
5,4,2003,0,2958,2003,3,4,2164,0,1750,1,21,592,0.42,2016.44,584000
4,3,2004,0,2236,2004,3,3,1550,0,1100,1,16,581,0.24,2017.08,345000
4,4,1990,0,2881,1990,3,4,1500,0,1300,1,21,578,0.24,2021.03,500000
4,4,1996,0,2762,1996,3,4,1381,0,1200,2,17,576,0.32,2017.05,375000
4,4,1975,0,1902,1975,2,2,1518,0,900,1,11,576,0.34,2020.18,298500
5,3,1976,0,1608,1976,2,3,780,500,0,1,10,576,0.31,2019.76,275000
5,3,1976,0,1608,1976,2,3,780,500,0,1,10,576,0.31,2018.63,244000
5,3,1968,0,2036,1968,2,3,2036,0,1800,1,11,576,0.31,2017.63,320000
